ID,Career Path,Field,Specialization,Required Skills
CP0001,Computer Science - Game Developer,Computer Science,Game Developer,"Unreal Engine, Kotlin, iOS, Linux, UI Design, Docker, PyTorch, Microservices, Functional Programming, AR/VR, Web Development, Penetration Testing, Hadoop, SQL, React.js, Python, UX Design"
CP0002,Marketing - Campaign Manager,Marketing,Campaign Manager,"Public Relations, A/B Testing, Marketing Automation, Product Positioning, Campaign Management, Event Marketing, Photoshop, Blogging, Facebook Ads, Content Strategy, Influencer Marketing, Media Relations, CRM, SEO, Affiliate Marketing, Growth Hacking, Marketo, Competitive Analysis, Video Marketing, Brand Management"
CP0003,Healthcare - Pharmacist,Healthcare,Pharmacist,"Healthcare Regulations, Clinical Experience, CPT Codes, Sterilization, Pediatrics, Clinical Trials, Cardiology, Radiology, Pathology, Medication Administration, Patient Assessment, Anatomy"
CP0004,Finance - Portfolio Manager,Finance,Portfolio Manager,"IPOs, Wealth Management, IFRS, Hedge Funds, Capital Markets, Due Diligence, Mergers & Acquisitions, Financial Statements, R Programming, STATA, Bloomberg Terminal, Investment Management, Credit Analysis, Retirement Planning"
CP0005,Finance - Investment Banker,Finance,Investment Banker,"Financial Modeling, Credit Analysis, SAS, Fixed Income, Financial Analysis, Wealth Management, Valuation, Series 7, Derivatives, Due Diligence, GAAP, Python for Finance, Hedge Funds, Mergers & Acquisitions, Risk Assessment, Regulatory Compliance, Tax Planning, Bloomberg Terminal, Investment Management"
CP0006,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"Adobe XD, Spark, Vue.js, Docker, DevOps, Django, GraphQL, Unity, SQL, System Design, Game Development, Sketch, Microservices, C#, Azure, Angular"
CP0007,Marketing - Content Strategist,Marketing,Content Strategist,"Customer Retention, Buffer, Event Marketing, HubSpot, SEM, Marketo, Marketing Automation, Content Marketing, Competitive Analysis, Facebook Ads, Affiliate Marketing, Hootsuite, Google Analytics, Growth Hacking, Marketing Metrics, Digital Marketing, Content Creation"
CP0008,Finance - Auditor,Finance,Auditor,"Hedge Funds, Fixed Income, Mergers & Acquisitions, Estate Planning, Bloomberg Terminal, Wealth Management, Equity Research, Algorithmic Trading, Due Diligence, VBA, SAS, Budgeting, IFRS, Financial Modeling, Python for Finance, Series 7"
CP0009,Finance - Investment Banker,Finance,Investment Banker,"Risk Assessment, Wealth Management, Loan Underwriting, Derivatives, Equity Research, Financial Modeling, Regulatory Compliance, Mergers & Acquisitions, Series 63, Private Equity, CFA, Retirement Planning, Credit Analysis, Accounting, Portfolio Management, Bloomberg Terminal"
CP0010,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Wealth Management, STATA, FINRA, R Programming, CFA, Credit Analysis, Estate Planning, Due Diligence, Financial Statements, Hedge Funds, Excel, Loan Underwriting, IFRS, Tax Planning, Series 63, GAAP, Bloomberg Terminal, Derivatives, Retirement Planning, Capital Markets"
CP0011,Finance - Financial Analyst,Finance,Financial Analyst,"Equity Research, Tax Planning, Budgeting, Excel, CFA, FINRA, VBA, Estate Planning, Wealth Management, Regulatory Compliance, Private Equity"
CP0012,Computer Science - Cybersecurity Analyst,Computer Science,Cybersecurity Analyst,"Sketch, Natural Language Processing, Unreal Engine, HTML, Agile, Spark, Security, Deep Learning, Machine Learning, Unity, Computer Vision, Ethical Hacking, UI Design, Spring"
CP0013,Computer Science - Data Engineer,Computer Science,Data Engineer,"Computer Vision, Test-Driven Development, SQL, Networking, Kotlin, Unreal Engine, Penetration Testing, CI/CD, Swift, Angular, Cloud Computing, Express.js, Functional Programming, Security, HTML, AR/VR, Android"
CP0014,Marketing - Market Research Analyst,Marketing,Market Research Analyst,"Mobile Marketing, Social Media Marketing, Hootsuite, Canva, A/B Testing, Google Ads, CRM, Lead Generation, Growth Hacking, SEM, SEO, Affiliate Marketing, Social Media Strategy, Conversion Rate Optimization, WordPress, Google Analytics, Brand Management, Customer Segmentation, Content Strategy"
CP0015,Marketing - Market Research Analyst,Marketing,Market Research Analyst,"CRM, Marketing Strategy, Social Media Strategy, Growth Hacking, Content Creation, Digital Marketing, Content Marketing, Social Media Marketing, Affiliate Marketing, Facebook Ads, Event Marketing, Customer Segmentation, Media Relations, HubSpot, Brand Management"
CP0016,Marketing - Content Strategist,Marketing,Content Strategist,"Content Strategy, Customer Retention, Marketo, Content Creation, Content Marketing, Blogging, Email Marketing, A/B Testing, Marketing ROI, Customer Segmentation"
CP0017,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Risk Assessment, STATA, Retirement Planning, Regulatory Compliance, Valuation, Financial Analysis, Credit Analysis, Bloomberg Terminal, Financial Statements, FINRA, Fixed Income"
CP0018,Marketing - SEO Specialist,Marketing,SEO Specialist,"Event Marketing, Buffer, Social Media Marketing, Influencer Marketing, Blogging, Public Relations, Google Analytics, Facebook Ads, Copywriting, Adobe Creative Suite, Press Releases, A/B Testing, Video Marketing, Competitive Analysis, Google Ads, Content Strategy"
CP0019,Healthcare - Nutritionist,Healthcare,Nutritionist,"Emergency Medicine, Anatomy, Nutrition, Geriatrics, Mental Health, Healthcare IT, Medical Records, Medical Terminology, Surgical Procedures, Wound Care, Vital Signs, Wellness, Medication Administration, Patient Education"
CP0020,Finance - Auditor,Finance,Auditor,"FINRA, Hedge Funds, IFRS, Series 7, Estate Planning, Algorithmic Trading, Financial Statements, Forecasting, Accounting, Bloomberg Terminal"
CP0021,Computer Science - Machine Learning Engineer,Computer Science,Machine Learning Engineer,"Git, Deep Learning, Figma, Big Data, Angular, Kubernetes, Unity, Networking, Mobile Development, Data Visualization, Spark, Microservices, UI Design, CI/CD, Object-Oriented Programming, Django, C++, Functional Programming"
CP0022,Healthcare - Medical Researcher,Healthcare,Medical Researcher,"Physiology, Pharmacology, Healthcare Regulations, Clinical Experience, Pathology, Cardiology, Orthopedics, Infection Control, Patient Care, Clinical Trials, CPT Codes, Oncology, Surgical Procedures, Geriatrics, Therapy, Rehabilitation"
