Current Position,Past Positions,Skills,Experience,Career Goal
DevOps Engineer,"AI Research Scientist, Game Developer","Machine Learning, Python, Java",2+ years,IT Project Manager
IT Project Manager,"Cybersecurity Analyst, Mobile App Developer, UI/UX Designer","Cybersecurity, Java, C++, DevOps, SQL",7+ years,Blockchain Developer
DevOps Engineer,"Mobile App Developer, Data Scientist","Machine Learning, UI/UX Design, Python, C++, Java",14+ years,DevOps Engineer
Pathologist,"Oncologist, Pediatrician, Psychiatrist","Pharmacology, Medical Ethics, Emergency Response",2+ years,Pathologist
Pathologist,"Public Health Specialist, Oncologist, General Practitioner","Pharmacology, Medical Ethics, Radiology",1+ years,Radiologist
Genetic Counselor,Neurologist,"Clinical Research, Patient Care, Pharmacology, Radiology",11+ years,Public Health Specialist
Transportation Engineer,"Aerospace Engineer, Power Systems Engineer, Renewable Energy Engineer","Materials Science, Robotics, Circuit Design",7+ years,Electrical Engineer
Pediatrician,"General Practitioner, Public Health Specialist","Patient Care, Anatomy & Physiology, Radiology, Emergency Response, Pharmacology",12+ years,Genetic Counselor
Power Systems Engineer,"Civil Engineer, Mechanical Engineer","Robotics, Structural Analysis, Circuit Design, Fluid Mechanics",5+ years,Electrical Engineer
Geotechnical Engineer,"Mechatronics Engineer, Civil Engineer","Circuit Design, Materials Science, Fluid Mechanics, CAD (Computer-Aided Design), Robotics, Structural Analysis",7+ years,Robotics Engineer
IT Project Manager,"Network Engineer, Data Scientist","Java, Data Science, Python, UI/UX Design, SQL, C++",14+ years,Mobile App Developer
Pathologist,"Radiologist, Oncologist","Patient Care, Pharmacology, Anatomy & Physiology, Emergency Response, Radiology, Medical Ethics",14+ years,Psychiatrist
AI Research Scientist,"UI/UX Designer, Database Administrator, Game Developer","Python, Cloud Computing, DevOps",13+ years,Software Engineer
Anesthesiologist,"Medical Researcher, Pediatrician","Patient Care, Anatomy & Physiology, Pharmacology",12+ years,Neurologist
Public Health Specialist,"Medical Researcher, Psychiatrist","Patient Care, Medical Ethics, Emergency Response",2+ years,Pediatrician
System Administrator,Blockchain Developer,"Data Science, Machine Learning, Cloud Computing",10+ years,Mobile App Developer
Machine Learning Engineer,"Blockchain Developer, IT Project Manager, UI/UX Designer","UI/UX Design, DevOps, Data Science, Python, SQL, C++",3+ years,Cloud Architect
